name,smiles
CHEMBL44372,CCC1CN(c2ccc(C(C)C)cc2)C(=O)O1
CHEMBL34186,Cc1ccc(C(=O)OC2CCN(C)CC2)cc1
CHEMBL285947,O=C(O)c1ccc(NCC2CCCCC2)cc1
CHEMBL31613,O=C(O)c1ccc(NCCC2CCCC2)cc1
METHYLPHENIDATE,COC(=O)C(c1ccccc1)C1CCCCN1
CHEMBL22083,O=C(O)C(=O)Nc1cc(Cl)cc(Cl)c1
CHEMBL302611,O=C(O)c1cc2ccc([N+](=O)[O-])cc2nc1O
CHEMBL441504,O=C(O)c1cc(O)c2cc([N+](=O)[O-])ccc2n1
CHEMBL284593,N#CC(C(=O)O)C1C(=O)Nc2ccc(F)cc21
CHEMBL16610,CC(=O)NCC1CN(c2ccccc2)C(=O)O1
CHEMBL295142,CC(=O)c1ccc(N2CC(CN)OC2=O)cc1
CHEMBL269255,CCOC(=O)c1cc2ccccn2c(=S)n1
CHEMBL75762,O=C(O)c1cc(C(=O)O)c2cccc(F)c2n1
CHEMBL307648,O=C(O)c1cc(C(=O)O)c2c(F)cccc2n1
CHEMBL53968,O=C(O)/C=C\C(=O)Nc1cccc(C(=O)O)c1
CHEMBL416264,CCOC(=O)/C=C/c1ccc(O)c(C(N)=O)c1
CHEMBL45301,CC(=O)c1ccc(N2CC(CO)OC2=O)cc1
CHEMBL417273,CC(C)C(=O)OCn1oc(=O)c2ccccc21
CHEMBL32613,O=C1NC(=O)C2(CCSc3ccccc32)O1
CHEMBL66792,O=C(O)Cc1sc(-c2ccccc2)nc1O
CHEMBL276964,CSc1ccc2nc(C(=O)O)cc(O)c2c1
CHEMBL37110,CN1CCC(OC(=O)c2cccc(O)c2)CC1
CHEMBL8737,CC(C)(C)C(=O)c1ccc2n1CCC2C(=O)O
CHEMBL295800,CC(C)c1ccc(N2CC(CO)OC2=O)cc1
CHEMBL307600,COC(=O)N(C)C(C)C#CCn1cncc1C
CHEMBL309054,CCOC(=O)N(C)C(C)C#CCn1ccnc1
